"﻿Year","Refugees"
"1960-01-01",197000
"1961-01-01",190000
"1962-01-01",185000
"1963-01-01",182000
"1964-01-01",180000
"1965-01-01",180000
"1966-01-01",140000
"1967-01-01",112000
"1968-01-01",110000
"1969-01-01",113000
"1970-01-01",115000
"1971-01-01",125000
"1972-01-01",125000
"1973-01-01",125000
"1974-01-01",123000
"1975-01-01",122000
"1976-01-01",122000
"1977-01-01",120000
"1978-01-01",83500
"1979-01-01",87000
"1980-01-01",94000
"1981-01-01",100000
"1982-01-01",100000
"1983-01-01",115000
"1984-01-01",126600
"1985-01-01",475000
"1986-01-01",547900
"1987-01-01",596200
"1988-01-01",610200
"1989-01-01",628500
"1990-01-01",816000
"1991-01-01",821500
"1992-01-01",1236000
"1993-01-01",1418000
"1994-01-01",1354600
"1995-01-01",1267900
"1996-01-01",1266000
"1997-01-01",1049000
"1998-01-01",949200
"1999-01-01",975500
"2000-01-01",906000
"2001-01-01",903000
"2002-01-01",980001
"2003-01-01",960393
"2004-01-01",876614
"2005-01-01",699996
"2006-01-01",605329
"2007-01-01",578866
"2008-01-01",582719
"2009-01-01",593787
"2010-01-01",594250
"2011-01-01",571672
"2012-01-01",589735
"2013-01-01",187545
"2014-01-01",216956
"2015-01-01",316098
"2016-01-01",669468
"2017-01-01",970357
"2018-01-01",1063835
"2019-01-01",1146682
"2020-01-01",1210596
"2021-01-01",1255694
"2022-01-01",2075445
